state	population
.Alabama	"5,031,864"
.Alaska	"732,964"
.Arizona	"7,186,683"
.Arkansas	"3,014,348"
.California	"39,503,200"
.Colorado	"5,785,219"
.Connecticut	"3,577,586"
.Delaware	"991,862"
.District of Columbia	"670,839"
.Florida	"21,591,299"
.Georgia	"10,732,390"
.Hawaii	"1,451,181"
.Idaho	"1,849,339"
.Illinois	"12,790,357"
.Indiana	"6,789,098"
.Iowa	"3,190,904"
.Kansas	"2,938,124"
.Kentucky	"4,508,155"
.Louisiana	"4,652,022"
.Maine	"1,364,517"
.Maryland	"6,173,689"
.Massachusetts	"6,997,713"
.Michigan	"10,070,627"
.Minnesota	"5,710,578"
.Mississippi	"2,958,409"
.Missouri	"6,154,426"
.Montana	"1,087,211"
.Nebraska	"1,963,273"
.Nevada	"3,115,840"
.New Hampshire	"1,378,702"
.New Jersey	"9,272,392"
.New Mexico	"2,118,488"
.New York	"20,104,710"
.North Carolina	"10,453,812"
.North Dakota	"779,563"
.Ohio	"11,798,292"
.Oklahoma	"3,965,234"
.Oregon	"4,245,044"
.Pennsylvania	"12,995,477"
.Rhode Island	"1,096,444"
.South Carolina	"5,132,151"
.South Dakota	"887,852"
.Tennessee	"6,926,091"
.Texas	"29,234,361"
.Utah	"3,283,982"
.Vermont	"642,936"
.Virginia	"8,637,193"
.Washington	"7,724,566"
.West Virginia	"1,791,562"
.Wisconsin	"5,896,700"
.Wyoming	"577,664"
