state,2016,2020,2024
Alabama,R,R,R
Alaska,R,R,R
Arizona,R,D,T
Arkansas,R,R,R
California,D,D,D
Colorado,D,D,D
Connecticut,D,D,D
Delaware,D,D,D
Florida,R,R,R
Georgia,R,D,T
Hawaii,D,D,D
Idaho,R,R,R
Illinois,D,D,D
Indiana,R,R,R
Iowa,R,R,R
Kansas,R,R,R
Kentucky,R,R,R
Louisiana,R,R,R
Maine,D,D,D
Maryland,D,D,D
Massachusetts,D,D,D
Michigan,R,D,T
Minnesota,D,D,D
Mississippi,R,R,R
Missouri,R,R,R
Montana,R,R,R
Nebraska,R,R,R
Nevada,D,D,T
New Hampshire,D,D,D
New Jersey,D,D,D
New Mexico,D,D,D
New York,D,D,D
North Carolina,R,R,T
North Dakota,R,R,R
Ohio,R,R,R
Oklahoma,R,R,R
Oregon,D,D,D
Pennsylvania,R,D,T
Rhode Island,D,D,D
South Carolina,R,R,R
South Dakota,R,R,R
Tennessee,R,R,R
Texas,R,R,R
Utah,R,R,R
Vermont,D,D,D
Virginia,D,D,D
Washington,D,D,D
West Virginia,R,R,R
Wisconsin,R,D,T
Wyoming,R,R,R
